"id"|"arenaId"|"name"|"address"|"short"
595|595|"Bochum Sporthalle Moritz Fiege Str."|"Moritz Fiege Straße  ,  Bochum"|"Bochum, Bochum Sporthalle Moritz Fiege Str."
620|620|"Sporthalle Gymnasium Neandertal"|"Heinrichstraße  12, 40699 Erkrath"|"Erkrath, Sporthalle Gymnasium Neandertal"
597|597|"Uni Düsseldorf"|"Universitätsstraße  1, 40225 Düsseldorf"|"Düsseldorf, Uni Düsseldorf"
598|598|"Halle Nord 2"|"Burgholzstraße 150, 44145 Dortmund"|"Dortmund, Halle Nord 2"
599|599|"Sporthalle Heiligenhaus"|"Herzogstraße  75, 42579 Heiligenhaus"|"Heiligenhaus, Sporthalle Heiligenhaus"
601|601|"Turnhalle Kolkrabenweg"|"Kolkrabenweg  8-10, 50829 Köln-Vogelsang"|"Köln-Vogelsang, Turnhalle Kolkrabenweg"
604|604|"Schulzentrum am Stern"|"Gagarinstraße 5-7, 14480 Potsdam"|"Potsdam, Schulzentrum am Stern"
628|628|"Spechtweghalle"|"Spechtweg 40, 70499 Stuttgart"|"Stuttgart, Spechtweghalle"
627|627|"GS Konrad-Wolf-Straße"|"Konrad-Wolf-Straße 11, 13055 Berlin"|"Berlin, GS Konrad-Wolf-Straße"
621|621|"Sportzentrum Hemmingstedt"|"Bahnhofstraße 54, 25770 Hemmingstedt"|"Hemmingstedt, Sportzentrum Hemmingstedt"
632|632|"25. Oberschule"|"Pohlandstraße 40, 01309 Dresden"|"Dresden, 25. Oberschule"
623|623|"n. n."|" ,  n. n."|"n. n., n. n."
95|95|"Graf-Stauffenberg-Gymnasium"|"Gottlieb-Planck-Str. 1, 49080 Osnabrück"|"Osnabrück, Graf-Stauffenberg-Gymnasium"
625|625|"Humboldtschule"|"Ricklinger Straße 95, 30449 Hannover"|"Hannover, Humboldtschule"
633|633|"Rhein-Neckar-Halle"|"Theodor-Heuss-Anlage 17, 68165 Mannheim"|"Mannheim, Rhein-Neckar-Halle"
629|629|"Sporthalle Goetheschule"|"Gorkistraße 25, 04347 Leipzig"|"Leipzig, Sporthalle Goetheschule"
613|613|"Pestalozzi Gymnasium"|"Hauptstraße 37, 01809 Heidenau"|"Heidenau, Pestalozzi Gymnasium"
624|624|"Buchholz"|" ,  Silberlandhalle"|"Silberlandhalle, Buchholz"
631|631|"Dresden,  Sportgymnasium Ostragehege"|"Messering 2a, 01067 Dresden"|"Dresden, Dresden,  Sportgymnasium Ostragehege"
300|300|"TSV Turnhalle Ebersgöns"|"An der Turnhalle 5A, 35510 Ebersgöns"|"Ebersgöns, TSV Turnhalle Ebersgöns"
630|630|"Hermann Leeser Schule"|"Elsa Brandström Straße 40, 48249  Dülmen"|"Dülmen, Hermann Leeser Schule"
665|665|"Elmar-Frings-Halle"|"Bergheimer Straße 223, 41464 Neuss"|"Neuss, Elmar-Frings-Halle"
663|663|"Sporthalle Werner-von-Siemens-Gymnasium"|"Quiddestraße 4, 81735 München"|"München, Sporthalle Werner-von-Siemens-Gymnasium"
660|660|"Gesamtschule Mitte"|"Jüdefelder Str. 10, 48143 Münster"|"Münster, Gesamtschule Mitte"
641|641|"Carl-Friedrich-von-Siemens Gymnasium"|"Jungfernheideweg 79, 13629 Berlin"|"Berlin, Carl-Friedrich-von-Siemens Gymnasium"
635|635|"Gemeindehalle Calw-Stammheim"|"Jahnstraße 36, 75365 Calw"|"Calw, Gemeindehalle Calw-Stammheim"
638|638|"Sportzentrum St. Wendel"|"Am Sportzentrum , 66606 St. Wendel"|"St. Wendel, Sportzentrum St. Wendel"
647|647|"Jahn-Sporthalle"|"Wiener Straße 76, 70469 Stuttgart"|"Stuttgart, Jahn-Sporthalle"
666|666|"Sporthalle Von-der-Tann-Straße"|"Von-der-Tann-Straße 10, 45476 Mülheim an der Ruhr"|"Mülheim an der Ruhr, Sporthalle Von-der-Tann-Straße"
664|664|"IGS Kronsberg"|"Kattenbrookstrift 30, 30539 Hannover"|"Hannover, IGS Kronsberg"
651|651|"Grundschule Süd"|"Südstraße 22, 26954 Nordenham"|"Nordenham, Grundschule Süd"
